Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
DELTA TECHNIQUES,contact@delta-techniques.com,+33 4 90 91 51 69,Engaged in the provision of architectural and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
OUTILLAGES ET PLASTIQUES SAUTEREL,info@ops-plastique.fr,+33 4 74 83 32 33,Engaged in the design and manufacture of injection molded technical parts in plastic and elastomers in France,"Produits chimiques, non-métalliques, gomme, plastique",C - Industrie manufacturière
LOGGERE FRANCE,office@loggere.fr,,Engaged in the wholesale distribution and marketing of technological and industrial equipment and machinery,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
SYSTEME AUTOMATION MANUTENTION STOCKAGE,jean-francois.rose@sams.fr,+33 2 38 93 56 98,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
IRRI SERVICES,irri-services@wanadoo.fr,+33 2 51 28 86 06,Engaged in water supply and irrigation systems; Involved in the operation of water treatment plants and/or the operation of water supply systems,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
SOCIETE D'APPLICATIONS TELEPHONIQUES ET TELECOMMUNICATIONS,compta@satelattia.fr,+33 5 62 93 12 12,Engaged in the provision of telecommunications services,Construction,F - Construction
PENARANDA INFORMATIQUE,contact@penaranda-informatique.com,+33 5 56 97 96 18,Administration management software developer [source: Bureau van Dijk],Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ADS SERVICES,info@ads-services.fr,+33 1 34 40 30 80,Engaged in the provision of technical engineering activities,"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
STARSEM SA,communication@starsem.com,+33 1 69 87 01 10,Engaged in the provision of engineering and technical design services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
GEOCENTRE,contact@geocentre.fr,+33 2 48 62 00 99,"Technical engineering, geotechnical, and applied geological activities",Autres services,"M - Activités spécialisées, scientifiques et techniques"
PASSMAN INSIGHT,contact@passman.fr,,"Engaged in the provision of secured Internet access services for health, hotel, campsite, tourism, and other industries",Autres services,K - Activités financières et d'assurance
A.T.E.,secretary@at-expat.com,+33 4 42 46 63 06,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
GRAPHI SCANN,contact@graphiscann.com,+33 4 72 33 60 70,Engaged in the provision of digital and offset printing services,"Edition, impression",C - Industrie manufacturière
SARL NEOPTEC,info@neoptec.com,+33 4 67 41 68 69,Develops software to optimize the management of evaluations and the treatment of all types of questionnaires,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
URANUS,uranus@uranus-tech.net,+33 1 64 86 58 47,Engaged in engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
E B I AGROCUV,contact@ebi-agrocuv.com,+33 4 77 70 65 15,"Manufacture and installation of sheet metal components, tanks, cisterns, tanks and piping systems","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
BLINDALU,contact@blindalu.com,+33 1 64 42 08 70,Engaged in the manufacture of locking security systems and fastenings,Construction,F - Construction
EASYCOM,easycom-s.europe@outlook.fr,+33 1 41 61 16 33,Engaged in specialized telecommunications activities,Autres services,N - Activités de services administratifs et de soutien
MIALON SUD TRAVAUX PUBLICS,mialontp@wanadoo.fr,+33 4 90 87 37 53,"Engaged in the activities of a site preparation contractor; Involved in site preparation activities, such as excavating and grading, demolition of buildings and other structures, and septic system installation",Construction,F - Construction
L'ATELIER DES TERRITOIRES,atelier.territoire@atelier-territoires.com,+33 3 87 63 02 00,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
D'ETUDES DE GENIE CIVIL TOPOGRAPHIQUE,segc.topo@orange.fr,+33 4 93 20 97 22,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
SARL MICHARDIERE-PAILLER-SOUIL,sarlmps@orange.fr,+33 5 49 59 54 19,"Engaged in the retail sale and installation of electrical, sanitary and heating systems",Construction,F - Construction
INGEOS INGENIERIE ENVIRONNEMENT CONSEIL,ingeos@ingeos.fr,+33 4 50 57 25 70,Engaged in engineering activities and related technical consultancy activities,Autres services,"M - Activités spécialisées, scientifiques et techniques"
CABINET BERLEM ALEXANDRE SOCIETE DE GEOMETRE EXPERT,contact@cabinetberlem.fr,+33 3 20 01 05 81,Surveying and engineering activities as well as technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
CABRIT BTP,cabritbtp@orange.fr,+33 4 66 37 95 16,"Engaged in the activities of a site preparation contractor; Involved in site preparation activities, such as excavating and grading, demolition of buildings and other structures, and septic system installation",Construction,F - Construction
HERAULTAISE D AMENAGEMENT ET SERVICES H A S,has4@wanadoo.fr,+33 4 67 88 63 00,Engaged in the provision of utility system contracting services in France,Construction,F - Construction
AUDIO-SUD,audiosud@audiosud.com,+33 4 67 27 43 05,Engaged in the wholesale distribution of professional audio systems,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
CINFORA,cinfora@wanadoo.fr,+33 4 97 02 24 30,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
SAAR SOC APPLICATIONS AUTOMATISME REGULATION,automatisme.regulation@wanadoo.fr,+33 3 26 36 20 31,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
ED INSTITUT,contact@edinstitut.com,+33 3 90 40 13 13,"Engaged in the provision of professional, scientific, and technical services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
SEVRIN SAS,contact@sevrin.fr,+33 1 48 45 84 74,"Engaged in the production and distribution of air conditioning, heating, and refrigeration systems","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
NCA ENVIRONNEMENT,accueil@nca-env.fr,+33 5 49 00 43 20,Develops comprehensive services combining field practices and technical expertise by senior engineers,Autres services,"M - Activités spécialisées, scientifiques et techniques"
EURISTIC MDS,contact@euristic.com,+33 1 43 57 80 90,"Engaged in the design and publishing of business intelligence software for use in the fields of human resources (HR), finance, and management control of medium and large businesses",Autres services,"M - Activités spécialisées, scientifiques et techniques"
MY LITTLE PARIS,bonsplans@mylittleparis.com,+33 1 56 92 05 51,Online women's gossip and news website operator [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
COTEL,contact@cotel.fr,+33 3 28 41 10 10,"Engaged in the development, design, and manufacture of electronic products and HTA/HTB portable test systems for electrical protection","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
G T GAZ,g.t.gaz@wanadoo.fr,+33 4 67 58 59 60,"Engaged in operating water, sewage and other systems",Construction,F - Construction
MICROWAVE CHARACTERIZATION CENTER,contact@mc2-technologies.com,+33 3 20 04 55 67,Nanotechnology research operator [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
POWERTRANS,vandergraaf@powertrans.fr,+33 4 79 25 30 25,"Designs and manufactures a range of innovative haulage systems that offer the mining industry lower cost, higher-productivity alternatives to conventional large mining trucks",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ESPACE MICRO,espacemicro@wanadoo.fr,+33 4 91 26 14 51,"Engaged in the wholesale of computers, computer peripheral equipment and software",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
SOCIETE BRIOCHINE DE SERVICES EN INFORMATIQUE,sbsi@cybercom.fr,,Engaged in the provision of information technology services principally in France,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
HELLMA FRANCE,info.fr@hellma.com,+33 1 42 08 01 28,Engaged in the manufacture of tanks and immersion probes for every application and all measuring devices,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
TUNZINI AZUR,accueil@tunzini.fr,+33 4 42 02 31 00,Provides installation and maintenance of heating and ventilation systems,Autres services,"M - Activités spécialisées, scientifiques et techniques"
ANTE,euro-video-sat@wanadoo.fr,+33 2 35 61 27 54,Engaged in the provision of security systems installation,Autres services,N - Activités de services administratifs et de soutien
ATELIER 4,issoire@atelier4.fr,+33 4 73 89 31 10,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
PROSYNERGIE,contact@prosynergie.fr,+33 5 49 07 40 54,"Engaged in the wholesale distribution of hardware, and plumbing and heating equipment and supplies, such as sanitary equipment, heating systems and kitchen products",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ETABLISSEMENTS FRANCOIS CHARRIN,charrinsarl@orange.fr,+33 4 78 43 60 08,Engaged in sewerage systems,Autres services,"E - Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
O.R. SYSTEM,service.clients@orsystem.com,+33 4 67 27 12 90,Engaged in the retail sale of computers and peripheral equipment,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
SOCIETE D'ASSISTANCE ET DE CONCEPTION D'EQUIPEMENTS TECHNIQUES SACET,sacet@sacet.fr,+33 5 61 54 50 31,Engaged in the provision of engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
HEAT SOFTWARE FRANCE,info.fr@frontrange.com,+33 1 55 68 10 60,Engaged in the development and provision of software and services that enable commercial clients to improve customer relations,Autres services,"M - Activités spécialisées, scientifiques et techniques"
CAFCA,distrib@cafca.fr,+33 1 39 72 10 60,"Engaged in the sale and distribution of computer cords, cables and connectors in France",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
